"pais","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"," "
"Congo, República Democrática del","","5200","","","","","","","","","1945","2295","4781","11448","11580","12476","11513","18757","8271","7532","3787.864","4874.098",""
"Congo, República del","6257","5235","4505","4783","","","","","","","3755.3336328915","4817","7011","12132","10380","11462","10604","8439","4976","4990.79","1090","1929",""
"Colombia","199370","190465","179994","171933","153204","162095","175006","185872","187382","196298","226094","237570.82904785","254059.92899685","304365.908","349864.363","368947","366188","355039","358874","371985","139029.18","273874",""
"Comoras","","","","","","","","","","","","","","","","","","","","","","",""
"Cabo Verde","13010","8745","8735","9434","16612","19905","19862","21086","12236","11560","10363","10658.071293119","10555.228651565","8148","7728","7989","8745","4868","9385","10205","4248","1625.248",""
"Costa Rica","24297","32270","32605","31219","33517","36045","36170","37284","36786","33285","41600.554974515","43354","40081","42831","50239","41544","46405","48971","40014","44878","11696.8","19350",""
"Estados pequeos del Caribe","","","","","","","","","","","97391","110827.36463507","134377.5525223","161581","215326","","","","208044.65713874","215238.58312836","166386.778","125803.341",""
"Cuba","12264","11728","9773","8998","10937","11484","11533","11874","11686","10653","21235.450280909","18302.858370897","15869.772204784","23292","15468","17592","20058","13144","8830","7146","2123","756",""
"Curacao","","","","","","","","","","","","","","","","","","","","","","",""
"Islas Caimán","","","","","","","","","","","","","","","","","","","","","","",""
"Chipre","12551","13321","15081","16908","19073","17392","17530","19131","19399","18556","15318","12430","13296","11724","9000","306","2994","8698","5456","3326","1118","1423",""
"República Checa","40027","44164","46574","52127","66134","75295","75439","75830","78377","78153","72137","61476","44189","54948","48975","38304","43878","50387","70828","44051","9831.363","11231",""
"Alemania","738297","762178","796129","844881","937143","1023858","1084821","1126699","1154472","1080553","971803.43159683","1021899.9385037","985668.76918817","954874","946082","967453","962803","955827","922648.6434902","896647.181","312142","368400",""
"Djibouti","","","","","","","","","","","","","","","","","","","","","","",""
"Dominica","","","","","","","","","","","","","","","","","","","","","","",""
"Dinamarca","109369","110492","97713","90641","99598","","","","","","","","","","","","","","","","","",""
"República Dominicana","","","","","","","","","","","1552","2286","2303","1908","1584","1421","1170","","","7062","2497.4","3106",""
"Argelia","40202","49274","46015","44315","48531","45692","44822","44136","31026","52731","53088","53286","54292","55516","60066","65940","73465","74714","77463","76049","18719","27650",""
"Asia oriental y el Pacífico (excluido altos ingresos)","1215806","1522837","1615064","1586155","2067761","2219532","2454357","2702754","2798473","3092984","3844391.0266723","4196284.4631813","4537127.0008198","4868207.3179955","5435979.6917599","5872462","6431220","6919472.67","7387203.8414897","7629160","4901478.069","4732454.516",""
"inicial del dividendo demográfico","2077309","2197664","2027711","2065419","2360942","2441945","2670479","2893009","2852615","2986969","3940298.1667931","4158415.0863253","4357526.4874614","4574583.4635518","4976915.633456","5220321","5700375","5886141.088","6219620.0608852","6098318","2897143.22","3558135.85",""
"Asia oriental y el Pacífico","2884999","3230312","3472124","3421353","3681701","3879996","4174539","4441653","4597611","4885072","6334923.9524487","6627354.954969","6896897.7004584","7391410.0459955","8025736.2493602","8575632","9231486","9792841.59","10258516.84149","10575048","6395637.389","6315893.499",""
"Europa y Asia central (excluido altos ingresos)","258374","277709","259547","284267","292272","315732","349854","359692","400765","462114","585984.22735896","662282.38610583","716610.82022895","830138.50323624","894484.72","980881","1038886","1065869","1069930.545","1073332.332","508534.126","718617.302",""
"Europa y Asia central","6236642","6291425","6044393","6113024","6481841","6300264","6602653","6941099","7106264","6941775","7595375.372279","8015873.0739271","7963663.9825596","7995554.4122362","8165780.3446493","8426406","8693238","8799738","9059612.7870813","9217856.065","3825022.622","4864895.695",""
"Ecuador","18419","16523","15407","24801","28422","29844","31016","44842","49162","46485","60835","49193","54250.922618879","58687","61248","61649","55430","50837","53033","50575","12056.18","15996",""
"Egipto, República Árabe de","47418","41373","41858","42152","42189","44730","47444","51440","57510","56414","104036.125","78726.090909091","92303","100735.5","101725.76744056","108206","115856","105464","105097","111785","45340.337","57871",""
"Zona del Euro","3631804","3620776","3525731","3668641","3894383","4181132","4398057","4637826","4670197","4551117","4337753.8053793","4456459.4754315","4337873.6218385","4152058.909","4179438.3976493","4314391","4494509","4506736","4585315.9394902","4882120.543","1939625.837","2387932.535",""
"Eritrea","","","","","","","","","","","","","","","","539","714","919","1018","1111","494.395","",""
"España","485856","517481","493019","518836","549963","586438","602978","657606","616893","547971","546298.85388598","535074","471440.88688639","465558.909","486353.8","534895","566775","579842","641097","677578.545","261972.271","381188.363",""
"Estonia","9199","9133","8324","8522","7814","8350","8183","9214","11478","8592","12207.970551266","13492","26778","13356","13524","13954","16179","528","1583","22","","",""
"Etiopía","26624","28128","28359","27204","29546","30961","33644","37528","39804","44154","48783","57728","62136","68131","71166","83940","94330","99263","110971","119542","72194","99415",""
"Unión Europea","4149031","4140156","3991441","4139732","4413329","4431467","4657953","4917391","4959760","4827314","5260808.8053793","5429662.6878213","5278710.4534897","5145234.909","5170163.1976493","5291624","5468736","5481436","5608067.9394902","5900296.733","2301206.386","2915300.394",""
"Frágiles y situaciones de conflicto afectados","356575","444450","380683","320117","349270","375959","405791","394482","408405","404042","488403.8521827","543909.40123806","519697.50053716","556736.09","533306.45263012","523455","528016","536379.38","544673.44454374","545738.122","283689.118","371452.766",""
"Finlandia","145174","128881","108923","107026","109209","107108","114699","118686","114371","104740","132408.28422807","144467","138914.13265306","138987","140256","153849","162119","118856","125804","131089","47394","42598",""
"Fiji","57776","62768","37685","38732","36920","41886","46866","46359","46467","45595","26127","18142","16011.285812436","11748","19140","19487","20906","21855","24134","25859","10450","5791",""
"Francia","811776","777756","734679","695865","682263","728081","805731","825471","827851","771675","738003.42644224","754292","739353.59975715","641440","610197","607168","599427","599256","597412","598374","268744","332174",""
"Islas Feroe","","","","","","","","","","","","","","","","","","","","","","",""
"Micronesia (Estados Federados de)","","","","","","","","","","","","","","","","","","","","","","",""
"Gabón","7445","7492","7474","7990","8342","8505","8524","9057","5654","5423","7516.1598513011","3002","1553","0","","2765","2305","","","","","",""
"Reino Unido","876158","925638","924944","891154","970036","1018118","1037032","1044883","1056206","1003893","985109.02306718","1062692","1050702.9090909","1052640","1064175.7","1104117","1180312","1182696","1242985","1061464","303493","289731",""
"Georgia","1906","1945","4239","5514","4451","4673","4861","5347","5487","5054","2803","3896","3326","2933","3317","3959","3199","5061","7108","6587","774","1000",""
"Ghana","4873","5892","4382","3333","3333","","","","","","5645.6695671329","10683","14902","16560","16764","20539","21628","21224","11635","15617","8941","13321",""
"Gibraltar","","","","","","","","","","","","","","","","","","","","","","",""
"Guinea","","","","","","","","","","","","","","","","","","","","","","",""
"Gambia","","","","","","","","","","","0","0","140","1788","1848","35","440","625","1116","1136","","",""
"Guinea-Bissau","","","","","","","","","","","","","","","","","","","","","","",""
"Guinea Ecuatorial","","","","","","","","","","","717.17092337917","2808","8201","19416","14136","22350","22464","20590","7930","7423","3051","1238",""
"Grecia","108584","125269","113247","114100","137676","130515","133226","137697","128287","112671","136382.25793275","125477.11982973","111870","103800","134160","124014","128454","135281","144040","151848","75393","108338",""
"Granada","","","","","","","","","","","","","","","","","","","","","","",""
"Groenlandia","","","","","","","","","","","","","","","","","","","","","","",""
"Guatemala","","","","","","","","","","","8875","9148","8091","2556","2214","3012","3102","3577","3205","2623","673.09","48",""
"Guam","","","","","","","","","12139","11470","","","","","","","","","","","","",""
"Guyana","418","276","","","","","","","","","9351","12231","8625","0","0","","","","1931","1578","1502","624",""
"Ingreso alto","18011576","17814539","16512187","17075406","18940544","19089737","19240949","19868002","19310218","19491081","21840425.547364","22182070.189451","21922264.967188","21969443.973863","22045256.907024","22416124","22988405","23210633.92","23547850.208355","23991370.588128","12186274.698","15230929.136",""
"Hong Kong, Región Administrativa Especial","79182","85003","91096","87070","111136","122705","130014","141372","144039","149809","158255","173112","185506.37822568","199639","215562","228582","235581","243518","245146","242173","70874","55653",""
"Honduras","","","","","","","","","","","21574","18287","16760","26796","24216","24813","24315","9482","14832","13146","","14225",""
"Países pobres muy endeudados (PPME)","143612","137114","","","","","","","","","266822.28924497","307977.71707607","311610.29055951","329263.772","346254.15291316","345543","341547","383488","410069","417461.09","215962.9134","325159.145",""
"Croacia","16955","18258","19340","19751","20482","22031","21641","22391","24728","24613","24766","26743","26456","24305","25161","25183","26171","26809","27189","27711","12838","15982",""
"Haití","","","","","","","","","","","","","","","","","","","","","1563","1563",""
"Hungría","32297","31654","33290","40233","46837","47362","45781","51003","49795","45861","111307","120826.21238981","88801.831651127","103080","123708","145492","137605","158454","183541","213664","106938","130120",""
"Sólo BIRF","4145976","4645137","4556340","4486328","5073328","5390223","5877784","6474185","6627091","7007442","8586208.3867932","9233939.6655508","9735585.5623574","10425190.69307","11205115.652588","11817203","12527507","13236887.138","14069273.386273","14396699.915128","8088339.715","9199542.519",""
"BIRF y la AIF","4634347","5121901","4965837","4891195","5519366","5846449","6352567","6990994","7102413","7497275","9337292.2932789","10080702.725144","10601539.959699","11372493.908309","12224523.256578","12861795","13594565","14403021.138","15276297.006305","15584884.005128","8751517.8654","9946993.382",""
"total de la AIF","488371","476764","409497","404867","446038","456226","474783","516809","475322","489833","751083.90648575","846763.05959347","865954.39734177","947303.21523862","1019407.6039901","1044592","1067058","1166134","1207023.6200312","1188184.09","663178.1504","747450.863",""
"mezcla de la AIF","262196","253222","195329","187227","194329","206217","224301","230626","220463","218602","327828.33363289","364230.37303001","391242.24708561","409973","426688.45294934","466885","468061","482733","496572.90201137","523292.79","308450.215","322356.799",""
"Indonesia","159027","164651","152278","155609","318488","320724","357414","357789","345240","330112","520932.08198318","599692.27609241","641182.30072336","576000","675005.89537866","682389","823735","892801","959307.381","808265","425057.604","348232",""
