"pais","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"," "
"Miembros OCDE","17624505","17392600","16063702","16602403","18407015","18709113","18809257","19348839","18688257","18650104","20927396.791636","21094558.129247","20984277.381898","21039809.298492","21081416.367649","21455548","22020267","22182317.92","22460256.787081","22822190.733","11609007.87","14702405.542",""
"Omán","22322","23213","23168","27751","31871","","","","","25542","32850","35560","39638","46816","47126","56544","61956","71293","76672","79436","19013","18219",""
"Otros Estados pequeos","138742","131359","","142498","161340","","","","","","","","","","208425","213260","226600","222435","235437.3025911","215942","","84710.615",""
"Pakistán","63956","52616","41917","44731","50309","48905","51296","51029","52165","50939","64932","72695","72232","61820","57956","65749","70005","51019","48542","49749","27903.88","36260.96",""
"Panamá","25225","24867","21883","25702","27434","30392","33003","40645","46292","66236","73316.750395115","79391","82753","135428","132689.72477487","137955","143126","112742","111583","110042","32578","71789",""
"Perú","29387","44487","37482","36947","46917","60819","56072","61958","67840","65885","84408.115323682","100131","106167","115817.39635221","117800","129786","129880","130792","141025.363","141311","42395.999","70558",""
"Filipinas","44547","60511","57193","56235","56647","58944","61712","65212","72333","87028","205318","225789.68364557","241698.55902851","200532","287460","325859","345482","273159","292450","320569","88024","71556",""
"Palau","","","","","","","","","","","","","","","","","","","","","","",""
"Papua Nueva Guinea","27512","29826","31147","17704","18712","19606","21935","21700","21751","21450","32741","36364.319780636","37309.857693979","30012","34068","51680","48892","53696","41173","54328","36664","34007",""
"Polonia","52371","71799","69842","73137","77690","78992","83451","89289","90031","83053","82630","82052","81194","83336","77094","68326","84075","106424","123903","131419","48381","60781",""
"previa al dividendo demográfico","134784","121438","","","","","","","","","304105.79060122","338788.5426994","335276.11842898","368447.772","355316.60399013","376858","353162","404599.38","474721.21114602","486296.09","192897.4234","291021.164",""
"Puerto Rico","","","","","","","","","","","","","","","","","","","","","","",""
"Corea, República Popular Democrática de","1332","1305","1396","1354","1652","1768","1839","1949","1986","1865","725","732","890","3576","498.34024896266","483","522","460","472","526","44","9.328",""
"Portugal","112462","96049","112324","117404","127025","148604","119668","138093","159135","123551","111961.40785391","129004","131870","158096","157702","160003","154448","170444","182753","186711","73742.363","97777",""
"Paraguay","7556","8173","8497","8557","9104","10059","9807","10351","10522","9758","6459","6873.7328497082","6594","6408","5496","4116","3864","3454","10160","8090","1747","1917",""
"Ribera Occidental y Gaza","","","","","","","","","","","","","","","","","","","","","","",""
"Estados pequeos de las Islas del Pacfico","87674","95413","72759","67062","69538","70306","78717","77907","78100","78761","51069","36808.25228489","34691.984171175","35340","51276","55485","58321","62670","65342","64745","34128.644","26870.421",""
"posterior al dividendo demográfico","16933507","16714073","15385330","15869640","17597666","17822494","17855201","18271239","17590453","17494249","19410119.832211","19559119.977766","19344793.670384","19289671.063863","19202136.98725","19396035","19781310","19856333.92","20014360.905764","20337590.648128","10438219.906","12898826.452",""
"Polinesia Francesa","","","","","","","","","","","","","","","","","","","","","","",""
"Qatar","26652","27049","34364","28370","34931","45964","53327","62689","68818","77178","90819","109525","128402","139869","151703","170582","200927","194389","197811","207143","127046","156726",""
"Rumania","23298","20781","17748","26844","30524","38995","42754","51222","55386","57893","61515","57823","51685","43956","42249.8","45596","46733","52063","55637","58509","22125","30789",""
"Federación de Rusia","314621","329935","345262","350963","398958","390824","421170","467670","522577","475261","523759","596042","636748","678071","747804","767043","746446","815708","885094","940499","623201","825994",""
"Rwanda","","","","","","","","","","","5867","7265","10410","11532","12096","3205","4314","18134","19133","19419","8494.839","9412.931",""
"Asia meridional","296548","294067","299963","338691","391577","419742","548761","666865","691007","700428","799070.00466148","894201.03177502","864800.1922051","900742.4","966479.12","1026248","1173973","1313166","1476056.363","1427588","714804.484","877794.064",""
"Arabia Saudita","108981","107984","108598","108322","113329","116280","131528","150521","148335","156500","177608","193536","208986","216636","232908","236468","256635","270924","267295","317209","144771","219247",""
"Sudán","7753","7562","7523","7849","8435","8695","8839","9418","7219","7178","10897","16727.088236529","13525.496329162","9432","6852","6021","3165","5831","3178","3116","2261","15413",""
"Senegal","2415","2606","6471","2396","6166","6441","0","","","0","0","5251","7730","5808","4044","3656","582","1087","5817","10215","4377","6285.619",""
"Singapur","71042","72431","72444","64117","76253","77119","84747","87564","91387","83772","131721.91555933","144696.87545537","157939.31776526","165239.07","183398.55760026","181563","207203","203615","208787","215014","64267","56482",""
"Islas Salomón","11481","12496","13011","9745","11512","12318","13883","13640","13649","13529","7388","7048.9546112685","6659.6983587391","11352","11532","13107","13711","14365","14365","11094","6680.904","5488.635",""
"Sierra Leona","202","139","138","138","156","164","171","183","181","186","0","2085","2145","","","","","","","","","",""
"El Salvador","37098","26059","19407","22063","23660","23964","24879","22465","21056","19339","20961.277087462","24699","26622","29114","31662","28671","28670","27995","27601","26305","8743.635","13969",""
"San Marino","","","","","","","","","","","","","","","","","","","","","","",""
"Somalia","","","","","","","","","","","2716.9099276792","2815","2791","3540","3444","","98","98","995","1060","","",""
"Serbia","","14000","19935","17205","19729","17048","19664","19971","19568","17208","16893","17303","16841","18156","28944","31304","31958","29705","28160","30964","12773","17412",""
"África al sur del Sahara (excluido altos ingresos)","335069","328777","297804","319863","337379","360846","358736","400752","354861","361975","578696.62001965","624597.44449421","649833.24972544","689280.772","665781.1268038","703831","701537","760811","843583.21114602","857966.09","370198.5464","525625.861",""
"Sudán del Sur","","","","","","","","","","","","","","","","","","","","","","",""
"África al sur del Sahara","354035","349026","320253","338510","356660","380427","378262","421479","366757","373213","591685.62001965","638799.44449421","661095.24972544","703872.772","680337.1268038","720955","720715","781350","862254.21114602","876670.09","378675.5464","534427.861",""
"Pequeños Estados","322489","330364","","","","","","","","","337507.69563801","334453.43624842","368656.74451571","374076","475027","","","501845","508823.95972984","495925.58312836","271667.512","237384.377",""
"Santo Tomé y Príncipe","1135","1135","1128","1170","1267","1310","1337","1426","1142","1143","","","","","","","","","466","468","366","524",""
"Suriname","2169","1920","1714","4402","4620","4851","4908","5022","4900","4560","1925","1914.7606382979","2417.5132978723","3420","2796","2995","3309","3385","3225","2668","2743","373",""
"República Eslovaca","2421","1817","4215","6845","12663","13914","14521","23997","24044","32020","2702","990","1439","1824","721.068","70","85","51","","","30","72",""
"Eslovenia","12082","13220","14881","16402","17310","18071","19505","23165","24477","25478","21840","21370","18141","17212","16557","17931","17825","18488","18444","16717","3289","854",""
"Suecia","247707","233803","198291","183532","190315","","","","","","584145","638729","663141","696120","686943","667747","649749","595624","577408","560422.19","168010.186","293982.859",""
"Eswatini","2586","","","","","","","","","","","","","","","","","","2224","2270","561","811",""
"Sint Maarten (Dutch part)","","","","","","","","","","","","","","","","","","","","","","",""
"Seychelles","18966","20249","22449","18647","19281","19581","19526","20727","11896","11238","12989","14202","11262","14592","14556","17124","19178","20539","18671","18704","8477","8802",""
"República Árabe Siria","13959","13580","12975","13953","16325","16815","17082","18909","18960","19229","12699","15455.407623056","9670.3235106534","5424","5424","168","170","165","167.75353016688","173","2659","5705",""
"Islas Turcas y Caicos","","","","","","","","","","","","","","","","","","","","","","",""
"Chad","1518","716","","","","","","","","","699.53144835545","984","664","72","72","","","","","","","",""
"Asia oriental y el Pacífico (BIRF y la AIF)","1214474","1521532","1613668","1584801","2066109","2217764","2452518","2700805","2796487","3093117","3844008.0266723","4195951.4631813","4536353.0008198","4864727.3179955","5436093.351511","5872686","6431560","6919854.67","7387754.8414897","7629985","4901769.069","4732700.188",""
"Europa y Asia central (BIRF y la AIF)","677777","725169","713991","759539","827774","856265","931341","1002485","1109461","1114171","1289975.227359","1437239.3861058","1524519.8202289","1671542.5032362","1798548.52","1898797","1954498","2078621","2173188.545","2241581.332","1221374.126","1652627.302",""
"Togo","1518","716","","","","","","","","","8164","10745","10264","11484","10599.370360014","9947","10725","10485","11559","11931","6191","11293",""
"Tailandia","101591","102414","97750","93576","128178","124347","126845","129703","125907","123541","201306","227322","252368.89840523","298450","338053.98166259","392664","413880","448477","475886.496","483580","224142.333","119077",""
"Tayikistán","3953","4511","5936","7210","8494","6987","2976","7891","8191","9758","5709.6689157383","7320","6529.8968762677","6263","7985","6884","6472","4135","4021","4283","2530","1137.726",""
"Turkmenistán","21858","23963","23963","24460","16316","14094","15602","15590","15665","15337","3221","1617.8413105413","1440.7321937322","12871.016608045","6068.32","8548","12890","16843","18184","17075","9671.143","6510.885",""
"América Latina y el Caribe (BIRF y la AIF)","1795191","1875770","1720239","1528729","1543862","1611517","1649988","1787182","1755794","1797292","2255941.2373442","2384451.9656857","2503306.4114108","2675506.4150769","2771753.9966472","2832631","2757267","2685336","2740715.2921387","2771658.5831284","1252229.27","1769289.853",""
"Timor-Leste","","","","","","","","","","","","","","","","","","","","","","",""
"Oriente Medio y Norte de África (BIRF y la AIF)","296322","356337","297723","340925","333384","360734","391697","412178","382907","419054","556612.17722236","530059.43390233","511465.28530907","556102.5","571311.14161639","510478","556552","624693.468","636327.75353017","637401","282665.37","380154.114",""
"Tonga","3814","4157","4323","4453","5255","","","","","","","","","","","","","","","","","",""
"Asia meridional (BIRF y la AIF)","296548","294067","299963","338691","391577","419742","548761","666865","691007","700428","799070.00466148","894201.03177502","864800.1922051","900742.4","966479.12","1026248","1173973","1313166","1476056.363","1427588","714804.484","877794.064",""
"África al sur del Sahara (BIRF y la AIF)","354035","349026","320253","338510","356660","380427","378262","421479","366757","373213","591685.62001965","638799.44449421","661095.24972544","703872.772","680337.1268038","720955","720715","781350","862254.21114602","876670.09","378675.5464","534427.861",""
"Trinidad y Tobago","25982","27908","23076","17731","17483","14298","13878","14703","15017","14247","28909","36648.073787979","36648.073787979","36564","36216","35127","29892","32589","33475","35175","12546","11513",""
"Túnez","19907","19385","18538","18738","20554","21268","21715","21734","24385","24225","31098","32179.916897507","37233","48804","60419","35540","38631","39856","41446","36763","14170","17557",""
"Turquía","119945","111342","105996","104377","121815","145952","177088","197132","215275","271835","369174","420222","476115","568212.39662819","628104","706067","743673","742260","772925.545","742503","364856.074","534041.09",""
"Tuvalu","","","","","","","","","","","","","","","","","","","","","","",""
"Tanzanía","5973","4360","4401","6082","6441","6062","5068","5457","5460","21088","21825","26332.300586101","28130.472072972","27625.772","31106.181","35374","27422","47741","90017","91864","42693","54741",""
"Uganda","263","266","263","263","302","317","330","353","349","359","6290","4879","5990","8616","6864","2332","3828","1953","3777","3417.3","675","1356",""
"Ucrania","27973","32864","26859","39778","42374","41911","48562","30029","52509","58756","66038","76652.268181818","73378.942618274","58474.09","47927.4","45688","55261","63315","66712","62113.332","20436","33922",""
"Ingreso mediano alto","3002495","3363318","3295973","3222909","3716293","3961110","4272054","4635913","4677534","5086474","6339697.3915227","6800326.9207477","7288341.4541679","7862609.3760701","8489499.8755005","9012559","9522991","10149110.138","10673033.747865","10855484.332","6368572.364","7048402.347",""
"Uruguay","10852","9550","8404","7032","8343","8934","8666","9186","9388","8731","","","","","","","","","","","","",""
"Estados Unidos","8820878","8535240","8038761","7789108","9566226","9969599","9738983","9815504","9054478","9182363","10095197","10057768","9864360","9745498","9556324","9498668","9640591","9639096","9880509","10099031","6175504","8005775",""
"Uzbekistán","30075","39673","22543","22325","22698","22183","21514","22265","22406","23176","22924","23773","24328","23962","23149","22579","21486","21730","21514","25300","7424","14343",""
"San Vicente y las Granadinas","","","","","","","","","","","","","","","","","","","","","","",""
"Venezuela","138500","223075","166807","110062","123232","135574","139671","140774","137900","123646","84065","83106","78583.162377954","92813","90235","73509","64058","43138","22447","16027","3859","3017",""
"Islas Vírgenes Británicas","","","","","","","","","","","","","","","","","","","","","","",""
"Islas Vírgenes (EE.UU.)","","","","","","","","","","","","","","","","","","","","","","",""
"Viet Nam","28999","35658","42588","41996","50855","54415","50840","60218","74739","83720","109176","135905.67293654","135300.41408858","149527.817","167386.363","205217","248580","264548","283787","332029","212297","117353",""
"Vanuatu","1402","1446","1547","1211","1477","1580","1643","1742","1775","1667","17212","11218.297673622","11905","12144","10848","10425","9037","12287","11723","13866","9641","8552",""
"Mundo","22008658","22264220","20817389","21282617","23752616","24215712","24829383","26016011","25498093","26122523","30222074.540528","31203707.095182","31434525.586079","32160518.882172","33026724.979077","34030586","35337714","36299460.058","37405640.248386","38082933.010128","20098778.5634","24054588.846",""
"Samoa","10877","11802","12317","9010","10691","11439","12752","12658","12699","12492","","","","","9144","11759","13805","6098","6848","6220","1352","993",""
"Kosovo","","","","","","","","","","","","","","","","","","","","","","",""
"Yemen, Rep. del","14608","14973","15495","14706","16746","17306","18843","14403","14462","14652","20600","20176.728526068","16807.407295596","16932","16056","5126","4538","1669","2342","","560","560",""
"Sudáfrica","110392","122561","116985","130938","133222","148146","146648","152550","156567","151292","190441","191506.86633036","197817.30031111","184763","199600.52281367","209734","212865","216275","234156","248747","88578.633","126160.109",""
"Zambia","6118","4886","4875","5214","5825","5965","6013","6396","4361","","9730","11497","8288","7997","8050","11130","8094","9020","1241","1298","777.3744","7071.541",""
"Zimbabwe","13603","8848","5050","3950","4269","4410","6819","7272","5917","5937","7077","10020.705611279","11560.367853924","27684","3730","4145","4231","3444","3444","","3450","1732.788",""
