"x","y","pais","2019"
"43.735724","41.870087","Georgia","61692"
"122.465","11.198","Philippines","28685"
"113.83708","2.528667","Malaysia","3000"
"114.551943","4.448298","Brunei","91254"
"14.915312","46.06076","Slovenia","3"
"27.276449","63.252361","Finland","11899"
"19.049868","48.734044","Slovakia","10600"
"15.377555","49.882364","Czechia","27199"
"38.285566","15.787401","Eritrea","1844219.272"
"138.44217","36.142538","Japan","605632"
"-60.146394","-21.674509","Paraguay","1967"
"45.874383","15.328226","Yemen","13871001.122"
"44.6996","23.806908","Saudi Arabia","34000"
"35.885455","-79.843222","Antarctica","300"
"33.692434","35.216071","N. Cyprus","19317"
"33.084182","34.913329","Cyprus","64320"
"-7.187296","31.650723","Morocco","637401"
"29.445837","26.186173","Egypt","7192"
"18.011015","26.638944","Libya","8310"
"39.0886","8.032795","Ethiopia","9302"
"42.498825","11.976343","Djibouti","12178"
"46.731595","9.443889","Somaliland","5566"
"32.948555","1.972589","Uganda","14937"
"30.103894","-1.897196","Rwanda","1354"
"18.06841","44.091051","Bosnia and Herz.","498878"
"21.555839","41.558223","North Macedonia","11315014"
"20.787989","44.189919","Serbia","1806"
"19.143727","42.803101","Montenegro","31311"
"20.860719","42.593587","Kosovo","66644"
"-60.9184","10.9989","Trinidad and Tobago","68734"
"30.390151","7.230477","S. Sudan","33112"
