"pais","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Malta","1364904","1340031","1398990","1309119","1365223","1371865","1495333","1674773","1708268","1992900","1699829","1673765","1535101","1603404","1588165","1583046","1500824","1575125","2576898","2382607.8","549318.545","597724"
"Myanmar","437600","398216","1186162","1117208","1392244","1503624","1620895","1662866","1637923","1527346","924207","1539676","1663425.4345762","1572120","1926969","2095503","2741388","3149037","3407788.432903","3701663.849","1506581.713","1132655.764"
"Oriente Medio y Norte de África (excluido altos ingresos)","26100792","34079465","26788324","32800028","30468644","31260133","34256632","36205520","35864926","38021520","52770471.770661","52290259.426245","50973534.928862","53720922.145994","54370978.907039","50614910","55760221","66657459.79","67240082.921165","68779625.648047","26962658.35","34236890.342"
"Montenegro","","121737","","287111","337046","383140","","","","","659355.41480782","523356","544519","528852","503040","526980","544597","507637","565522","597380","","1589.285"
"Mongolia","253917","255298","269886","294880","310158","295252","347998","380708","364470","257233","391188","496649.10773313","626469.96653678","585864","683254","529311","537853","602775","670360","744413","143860","61614"
"Mariana","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","259568","264216","281513","280516","293873","346830","350314","443010","461125","490019","558192","577019.81446882","559608.7956682","701472","739636.74414715","676028","632965","569211","540124","587364","327742","411739"
"Mauritania","185061","155687","105541","116136","128329","138595","149188","154662","153895","142355","524817.89473153","381075.92356343","325239.52355014","261696","271212","248158","280215","418817","379211","386621","100904","207225"
"Mauricio","949085","1002282","1029466","1042773","1088696","1145737","1056496","1277957","1256746","1092580","1265458","1321491","1313976","1318052","1354388","1466527","1593666","1674395","1745291","1726868","407291","153242"
"Malawi","115831","112560","104711","108854","122477","132275","145747","154837","159917","157007","91520.189395393","82709.544990236","53518.997997039","5856","5856","6011","6744","10545","10545","7117","1792.164","1290.356"
"Malasia","16560793","16107156","16281275","16704600","19226564","20369086","17833364","21325754","22420870","23766316","34239014.172521","38218608.852353","39165195.217678","47995842.00418","49673884","50345820","53817353","58711937","60481772","63623130","15893988","4965360.963"
"América del Norte","707095388","662639760","621733444","624881527","718811915","765777598","772257943","796405857","755498308","732006924","783774409.37534","796874011.95474","807166400.79287","814697725.91843","838238607","878450302","909445425","940807001","980528000","1020089000","397121000","691104000"
"Namibia","247147","215237","222009","265655","282915","399280","400947","430741","452167","454855","485849","540867.9","632330.085","510000","522216","553322","558713","623076","602893","212578","62262.67","2245.772"
"Nueva Caledonia","","","","","","","","","","","","","","","","","","","","","",""
"Níger","77273","46364","","","","","","","","","0","0","119652","87936","13227.5","15243","15044","14713","","","","15019.2"
"Nigeria","507396","519453","520278","520263","540461","747648","1307541","1363435","1460900","1365343","4197375","4793913.2741604","4716148.0807306","4209624","4462001.6297301","4613169","4110075","4789878","7786143.9941623","6539048.3530901","3435350.518","4486313.422"
"Nicaragua","61031","","","","","","","","","","","","","","","","","","","","",""
"Países Bajos","20898713","20072980","22931166","23454932","25595676","26132696","27454451","28857440","29601230","29108547","26979676.629682","29959476.404377","31672223.975959","33455251","33956338","35687843","40078714","42763443","44417573.579144","46358457.951","14748517.334","19349165.526"
"Noruega","15182305","14556181","13699204","12805757","12277222","","","","","","","","","","","","","","","","",""
"Nepal","643332","641142","352544","356369","444691","480266","509792","528226","520303","484394","917939","901116.11793797","776864.1215957","643140","517548","510342","634292","2443630.512","4525805","1659671","1989284","2550505"
"Nauru","","","","","","","","","","210424","30195.521045074","34884.326886711","19334.847845591","16488","34572","38859","47252","45457","40290","50668","9356","3344"
"Nueva Zelandia","10781314","11467023","11285424","12259437","11305401","11951935","12382205","12545766","12950904","12104116","13295185","13747024.206969","13937353.943178","14434055.999195","13618711.999038","14385078","15300409","16271523","17249049.954137","17763604.459","8516619.501","8729634.719"
"Miembros OCDE","1333236717","1283609610","1247264642","1278025311","1413357107","1475137918","1523845112","1594664421","1561688255","1516777735","1714226706.493","1767775671.2022","1813901529.853","1880658281.4369","1959633535.8769","2082857593","2190437625","2295787113","2413352567.6346","2504574292.338","872244225.3065","1302098734.934"
"Omán","2118338","1980076","2103559","2777424","3267088","","","","","2360682","3262849","3795755","4430383","4994729","5051804","6365784","7709851","9035230","10438241","11239996","2496069","2075390"
"Otros Estados pequeos","8797246","8649959","","9655978","11194003","","","","","","","","","","16329805.623885","17233887","19103204","20797741","22855789.642642","20303166.475124","","4778291.787"
"Pakistán","5293541","6011849","4141009","4522110","5097477","5364134","5714831","5439144","5605758","5303268","6588114","7940545.0755121","7973906.3606728","7833901.087732","7670348.1854314","8467827","9628354","7260769","6880637","7420378.249","3711456.87","4930661.98"
"Panamá","1117411","1114727","1047843","1416071","1500673","1795958","2028711","2473261","2762458","6348000","5524157.4296921","6380080.1838697","7517581.2770127","11656416","11812712.838391","12193261","13285098","11975372","12631703","12497758","3074172","8208378"
"Perú","1595268","2248991","2085823","2226329","3225128","4332223","4217880","5273188","6184410","5843195","7106025.2925172","8609620.3544122","10074855.611923","12255937.76295","12284677","13877662","15081755","16094150","17758527.272","18820572","5705074","9053965"
"Filipinas","5756288","6416383","6449022","6457529","7387965","8056829","8304634","8818150","9508389","10480898","22575356","26326620.762832","28540727.36081","25540880","34897404","37023422","40206684","39341995","43080118","47776892","10613531","6886922"
"Palau","","","","","","","","","","","","","","","","","","","","","",""
"Papua Nueva Guinea","1099772","1188089","1234779","690528","762784","818773","918640","918665","904885","847353","1405169","1563593.8532111","1630308.4321054","1870968","2074020","1679156","1711274","1864653","1831903","2029701","932389","1039010"
"Polonia","2340919","2670283","2845919","3252222","3493094","3553680","3625982","4269655","4634676","4279072","4099082","4448727.0598285","4909100.3920691","5002975.7486676","5038745.4259833","4448883","5497163","7376512","9277538","10225516","2686258","3676185"
"previa al dividendo demográfico","5605843","5129614","","","","","","","","","17819048.659306","20387700.772886","20515501.676293","19925850.818","19349770.895976","21230480","20633300","21624757.05","28768397.360006","28357862.062201","10279740.062","15075193.281"
"Puerto Rico","","","","","","","","","","","","","","","","","","","","","",""
"Corea, República Popular Democrática de","82953","78805","84321","75046","93808","101313","105366","110634","108974","101237","73052","78558.861550207","100113.3485814","371004","90335.875","87082","94919","103560","94245","109095","3563","523.761"
"Portugal","6721365","6650492","6795580","7590259","9052471","10139655","9440930","10320040","11171020","9903771","10428173.512674","11014639","11338080","11860998","12635439","12706909","13105120","15937325","17367956","22047878.978","6219531.061","8056494.578"
"Paraguay","265898","281040","267089","298928","373456","445854","432760","458688","465911","428493","715072","845395.68884887","794176","711548.47","608844","452004","467713","454276","710407","632389","131713","111964"
"Ribera Occidental y Gaza","","","","","","","","","","","","","","","","","","","","","",""
"Estados pequeos de las Islas del Pacfico","994674","1040635","1169195","1409660","1376595","1366689","1468156","1510124","1487471","1861811","1679808.5210451","1691669.5084746","1701510.525037","1807896","2006028","2120856","2238966","2543172","2681606","2609710.5531334","787299.92","449526.842"
"posterior al dividendo demográfico","1301972064","1251639848","1214443600","1229236696","1360640668","1413314874","1455395380","1510562083","1469546762","1409097909","1576171421.6677","1619241221.5305","1648538084.4739","1699478102.8254","1761628444.7314","1848558208","1927693057","2000358525","2089907217.4144","2176459264.4651","730930007.4665","1067970234.934"
"Polinesia Francesa","","","","","","","","","","","","","","","","","","","","","",""
"Qatar","2672972","2778116","3570521","3184104","4453071","6041040","7070851","8879109","9702479","10211229","12391268","14568106","17187171","18737348","21425066","25263224","31209097","29949181","29178923","32953297","10640789","14832936"
"Rumania","1218102","1137305","959487","1255313","1337781","1707714","2047466","3003872","3253417","3268022","3733253","3659209","3593312","3087143","3067724.4","3634598","3686938","4423249","4908235","5630289","1786407","2719206"
"Federación de Rusia","17687894","20301199","20892156","22723072","25948923","26522315","28836949","33187839","37940321","34402844","43855539","50555805","58727125","64072322","72189961","76846126","77458318","89373638","99327311","108857906","62447448","96851769"
"Rwanda","","","","","","","","","","","188221","268376.55","593198.45","610992","626928","544541","644559","1031957.04","1502478","1561562.214227","661287.648","715763.609"
"Asia meridional","26822530","26775369","25502242","27975359","33660738","38307149","51488173","62460543","60323625","64195666","78888194.886328","91031850.071816","89645445.178523","93893397.487732","102251106.64342","120221878","142492664","162908959.55031","189594450.62766","190986478.28032","79675683.589","96661876.408"
"Arabia Saudita","12566492","12835735","13564300","13821729","14942633","15933045","16830838","17141188","16708204","17508200","20323592","23135735","26537661","28252104","32269452","33431736","35092840","37503000","39767648","46181487","20968865.89","29403732"
"Sudán","414179","414983","409178","420498","473127","510977","563026","598151","617785","606558","580325","947031.45611315","777346.33192403","541644","501864","496177","292843","557792.04","561520","530001","386838","1386967"
"Senegal","97525","176413","231333","129974","416372","449682","500677","538845","567101","572609","0","391401.4","543987.6","219996","131964","115355","9874","21038","278438.28855991","457722","271331","359705.738"
"Singapur","16704341","16373648","17256872","14172367","16995621","17744017","19565884","20671341","21050204","18427473","24859825.157784","26509929.142491","29138458.273748","31729241","33643518.416782","33585397","35370328","38094990","40401515","43050722","7884373","2311712"
"Islas Salomón","75262","81376","84537","68104","84676","91450","101190","102090","100558","94027","142660","140183.26388356","138160.1153057","302412","330456","373739","373467","427806","427806","229670.648","138660.862","100593.419"
"Sierra Leona","19009","13877","13877","13599","15503","16743","18752","20252","21420","21784","0","48789","50193","","","","","","","","",""
"El Salvador","1960363","1692334","1804307","2182463","2391159","2540564","2579145","2536820","2279763","1996982","1816391.1038335","2151274","2523296","2509003","2816524","2597649","2603129","2670560","2545105","2609917","805271.999","1412026"
"San Marino","","","","","","","","","","","","","","","","","","","","","",""
"Somalia","","","","","","","","","","","163812.74580862","177005.4","178709.7","258336","251652","","4486","4486","33728.968657989","34065.556846186","",""
"Serbia","","994880","1185479","1011231","1076473","918540","1041747","1118404","1135322","926618","985072","1149102","1240709","1241352","2187144","2427047","2486009","2442731","2262703","2469081","795228","1276465"
"África al sur del Sahara (excluido altos ingresos)","17519022","16753549","16016828","17470433","19705682","23121258","25230306","26657989","27510500","27184327","37778795.137902","42254442.401034","45172846.802368","43445905.818","43973716.115098","47353496","49115389","53627313.08","64496529.360006","65822245.920235","24345492.602","31345507.692"
"Sudán del Sur","","","","","","","","","","","","","","","","","","","","","",""
"África al sur del Sahara","17912857","17173516","16535011","17883529","20167567","23620094","25775571","27232504","28096606","27748907","38191509.137902","42648276.401034","45408840.802368","43790341.818","44380996.115098","47850992","49683303","54260831.08","64951730.360006","66236333.920235","24494981.602","31483072.692"
"Pequeños Estados","13384562","12936051","","","","","","","","","20932847.352078","20587558.889798","20924089.307822","19181953.6","21690361.952765","","","26423477","29543913.88463","26839242.579338","7717842.031","7031655.584"
"Santo Tomé y Príncipe","35054","35054","34496","35680","40076","43282","47585","50440","51921","50716","","","","","","","","","36660","41933","20703","28019"
"Suriname","232649","202899","191094","258311","289309","315410","306504","324821","329788","303117","214667","204096.67597181","240525.44145286","255204","269148","259682","280090","284935","272347","236601","221654","20181"
"República Eslovaca","57095","43113","82821","190182","636276","711939","779759","2679227","2690428","3440816","74856","34859","45111","64008","29031.5983","11098","12928","7925","","","2669","8900"
"Eslovenia","627907","689635","720513","758392","764991","757651","860735","945420","1103685","953378","979803","972711","816630","857000","916981","1045409","1009559","1087075","1094762","869640.1","78565","21037"
"Suecia","13354314","13123426","12421220","11586025","11623925","","","","","","41153081","46260220","49192941","51925707","57789383","58636668","55672453","51825549","51473905","50957868.602","14105839.7975","20067143.633"
"Eswatini","89791","","","","","","","","","","","","","","","","","","51633","52744","10647","13338"
"Sint Maarten (Dutch part)","","","","","","","","","","","","","","","","","","","","","",""
"Seychelles","393835","419967","518183","413096","461885","498836","545265","574515","586106","564580","412714","393834","235994","344436","407280","497496","567914","633518","455201","414088","149489","137565"
"República Árabe Siria","750129","760923","926850","907850","1169646","1239825","1252102","1371450","1358473","1342518","1158366","1433766.6947323","907927.74176397","475932","475932","17902","18117","17564","17896.921165363","18456.645046621","299469","672219"
"Islas Turcas y Caicos","","","","","","","","","","","","","","","","","","","","","",""
"Chad","77273","46364","","","","","","","","","48519.199657971","74653.8","52041.6","28080","28332","","","","","","",""
"Asia oriental y el Pacífico (BIRF y la AIF)","117392048","131820683","144870039","145911102","202852010","220785964","244343650","277657591","287610282","326402729","430771969.35366","482426892.52564","525964519.87281","579440333.84018","640110151.26625","708750644","790446548","881640190","964270665.0959","1003417980.1326","545604200.498","516083074.028"
"Europa y Asia central (BIRF y la AIF)","41986042","44543460","45328183","49555883","58378519","63293892","69212039","77911513","87710738","88865012","115461131.98893","133766768.56366","153418991.82103","171433958.55766","188867281.83397","206959900","214729427","241813816","263345266.521","272506497.268","125376901.207","192532291.262"
"Togo","77273","46364","","","","","","","","","663013","832351.1563973","745781.74809138","840948","426344.03992044","420875","475185","500686","566295","633629","320806","672184"
"Tailandia","17392091","17662418","18111892","16622502","20342582","18902629","20102408","21191723","19993134","19618735","28780723","31940491.983851","36392469.354526","43029150.6","46546612.484507","56447637","62341676","70704889","76053042.754","76344410","28179302.666","12734583"
"Tayikistán","168006","","496905","442712","598456","479172","394440","501178","683248","764505","616999.41230765","846967.38025054","650130.54738903","683060.15749291","1064176.3279873","1034477","1037897","580374","492320","539094.616","260316","125163.504"
"Turkmenistán","1283780","1407423","1407423","1411910","1612479","1653638","1843140","1850921","1823157","1706055","300970","160243.76537593","147500","1800847.4576271","579715.68","897079","1318350","2136219","2457474","2081424.32","1084543.419","648370.136"
"América Latina y el Caribe (BIRF y la AIF)","93639750","99068745","95813090","92587521","99215943","105704481","108594923","118159408","131727500","138693494","175872865.02694","195644076.78756","214936093.95684","232318775.0717","246692569.63856","262023503","264419476","273553611.35","290659005.92391","302747680.55108","119711410.66","186616854.562"
"Timor-Leste","","","","","","","","","","","","","","","","","","","","","",""
"Oriente Medio y Norte de África (BIRF y la AIF)","26100792","34079465","26788324","32800028","30468644","31260133","34256632","36205520","35864926","38021520","52770471.770661","52290259.426245","50973534.928862","53720922.145994","54370978.907039","50614910","55760221","66657459.79","67240082.921165","68779625.648047","26962658.35","34236890.342"
"Tonga","51615","56777","58480","60819","75416","","","","","","","","","","","","","","","","",""
"Asia meridional (BIRF y la AIF)","26822530","26775369","25502242","27975359","33660738","38307149","51488173","62460543","60323625","64195666","78888194.886328","91031850.071816","89645445.178523","93893397.487732","102251106.64342","120221878","142492664","162908959.55031","189594450.62766","190986478.28032","79675683.589","96661876.408"
"África al sur del Sahara (BIRF y la AIF)","17912857","17173516","16535011","17883529","20167567","23620094","25775571","27232504","28096606","27748907","38191509.137902","42648276.401034","45408840.802368","43790341.818","44380996.115098","47850992","49683303","54260831.08","64951730.360006","66236333.920235","24494981.602","31483072.692"
"Trinidad y Tobago","1254425","1387639","1268879","1084186","1132392","1055106","1024304","1085650","1102669","1014016","1842253","2625055.7130404","2625055.7130404","2865852","2732100","2617843","2598521","2582961","2458183","2583595","677670","652148"
"Túnez","1907876","1926118","1789327","1719524","1940037","1996699","2054641","2054679","2274580","2278964","2739634","3153388.9766099","3580910.2187347","4648608","4628511","3496190","3606247","3963968","4274199","4335325","1381745","1675777"
"Turquía","12187891","10603908","10686877","10745444","14275835","16943828","19361415","22895275","25505092","31339441","45665249","53500303","63350312","74413804.619868","84574844","96604665","100366461","107917326","115595495.817","111131475","44722690.061","69065868"
"Tuvalu","","","","","","","","","","","","","","","","","","","","","",""
"Tanzanía","193069","174559","134470","149540","243087","257223","189844","250849","202704","683541","750421","914932.03761187","1030203.5752038","1173942.818","1124913.454","1312807","1179664","1221678","1698386","1498093","823670","1146973"
"Uganda","39379","40560","40560","39749","45711","49368","55292","59715","63160","64234","154909","141603","182144.4","198804","163824","41812","52187","14958","21212","19822.5","4946","16490"
"Ucrania","950697","986022","1119889","1652632","2200094","2512910","2801992","1736018","3456288","3427818","3956053","5477654.9181818","5828107.6121179","5218814.574","4503610","4620530","5756509","6794396","7854842","7604522.332","1801014","3282709"
"Ingreso mediano alto","224936399","245735813","251104245","260483967","322087546","349773273","381817662","423231746","444291801","492324331","642707089.71356","713479109.38419","780431385.34656","857768978.69657","926854345.34962","1016444531","1099077813","1218753432.79","1321328118.6578","1358858347.2761","685429262.064","768693873.877"
"Uruguay","642027","558563","525049","463884","564149","586458","568864","602996","612644","563632","","","","","","","","","","","",""
"Estados Unidos","665327414","622187846","598410415","588997110","678110608","720547738","725530965","744302310","701779551","679423408","720497000","730796000","736699000","743171000","762710000","798222000","824039000","849403000","889024000","926737000","369501000","666153000"
"Uzbekistán","1744510","2256380","1451004","1465798","1588049","1639276","1665190","1940378","2033933","1850056","2114050","2275947","2593509","2614085","2545935","2486673","2383631","2581865","3056558","3685192","933769","2010914"
"San Vicente y las Granadinas","","","","","","","","","","","","","","","","","","","","","",""
"Venezuela","4295000","9452434","6369455","3889929","4943887","5043028","5225573","5495292","5766973","5121009","6428163","7728281.2539329","7738509.6454494","6866780.59936","7888722.39936","7086072","6025475","4209158","2217407","1516839","283524","265276"
"Islas Vírgenes Británicas","","","","","","","","","","","","","","","","","","","","","",""
"Islas Vírgenes (EE.UU.)","","","","","","","","","","","","","","","","","","","","","",""
"Viet Nam","2877894","3427176","4038133","3969320","5049706","5453683","5283831","7194443","9991145","11073604","14377619","16544477.83017","16976051.381216","20429309.908","23826013.272","29944771","37349272","42592762","47049671","53227026","31771202","14754847"
"Vanuatu","101503","97471","104294","83151","103939","112254","116744","122581","120742","112169","247944","240396.43770434","318747","327060","320232","272332","299315","341110","374603","466865.0531334","136360","128164"
"Mundo","1674064712","1655230214","1627404873","1665309283","1888695284","1969590799","2072413898","2209136496","2208218737","2249728546","2669414339.2099","2833214050.1821","2943247912.5649","3100200780.1727","3285080769.4759","3525115153","3760774350","4025616011.7703","4293921426.1293","4455690101.0283","1771894087.0245","2279974770.123"
"Samoa","164142","173479","182292","198115","246875","266625","287596","294927","290503","270908","","","","","76944","98950","116167","81921","77811","74867","11957","7212"
"Kosovo","","","","","","","","","","","","","","","","","","","","","",""
"Yemen, Rep. del","841609","841366","869296","844284","1022079","1083404","1162316","1073493","1064878","1050486","1536556","1492073.3285981","1299707.2391082","1664220","1665552","443685","242723","132571","336310","","52034.893","52034.893"
"Sudáfrica","8000757","7948374","8052660","9159815","9878598","11844657","12932671","12870324","13135437","12503629","15781210","16407784.957168","17571565.203215","16311250","17026643.219122","18882898","19744932","20821044","24660386","26211258","8304771.044","9321575.836"
"Zambia","89628","48517","47075","50977","49888","53880","58679","61589","62467","","260502","306034.3","127296.65","10032","8592","203617","144060","154573","16633.138941549","17505.689636364","8717.833","136609.957"
"Zimbabwe","607976","308096","250532","200857","225021","243022","239045","254783","264404","261480","258828","279347.6183915","320945.999811","351564","301260","370165","378803","282539","282539","","324226.537","75638.12"
