"pais","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Armenia","7.1535781845376","10.837976172","14.224292848533","14.773836275458","11.161649451067","14.591455857939","13.976488640084","14.536100371916","7.6514550582337","-13.545791682777","2.8244818830434","5.3190183518382","7.7353708344903","3.7641296484265","4.0106459331927","3.6063690783221","0.64613594275282","8.0243970488348","5.7698821490318","8.2086494995949","-6.7040493175673","6.3547444017185"
"Samoa Americana","","","","1.3767607834128","0.95870460339795","0.23892101291561","-3.3947523793234","2.6719703404165","-1.8004500017704","-3.2579410950162","1.2452642573315","0.99245074571901","-3.2319106405226","-1.2195018397962","3.2790216419351","4.8544423011599","0.1136443421145","-5.135339885777","4.8740611245076","1.8317139660059","6.9706882081677","1.7599283325628"
"Antigua y Barbuda","4.4573707157991","-6.0008560900133","-0.25532803477593","4.8812806469225","4.6064512593857","5.2367939688526","11.278524665975","7.8212014922653","-1.4972643305154","-13.299132760644","-9.0890123691164","-3.1275889904304","2.258624318843","-1.5251040350871","1.3649974568931","0.64998030083656","3.3836514765602","1.8392357570841","6.3613751941036","2.5509014329405","-19.359252064976","7.5475750602971"
"Australia","2.7389442953762","0.72353115671669","2.8035271603898","1.9117386764348","3.1158934431982","1.9060652376379","1.3779800336602","1.8967083916535","1.5311118678101","-0.18577315288421","0.6485000682525","0.99581200160159","2.1199260681509","0.85530140286312","1.0883007815054","0.74143884360409","1.1862658506418","0.64749521850477","1.3783453533196","0.68249094515049","-1.5564363010269","1.9680616457495"
"Austria","3.1274366501477","0.88025909788611","1.1526763313577","0.45094652723454","2.0997111688971","1.5498773169359","2.9434178587045","3.3917308268146","1.143307118886","-4.0163400421177","1.5925771284999","2.5764483181145","0.22245057694307","-0.56229894252745","-0.12237066733756","-0.1115401895045","0.8924691396323","1.5507240862715","1.927713059873","1.0004069531778","-7.0198259520298","3.7847196965404"
"Azerbaiyán","10.191029267482","9.0518220381875","8.6253510657364","9.3764603643062","8.3015384793906","26.66009477003","33.030487768945","23.590685413705","8.457450125556","7.0506025194908","3.8064910206256","-1.1958429622771","0.81668412824123","4.4500200988202","1.4759369407787","-0.10312136489148","-4.1771716800524","-0.77841612623278","0.62448616773966","1.6358504813074","-4.9527017386949","5.1515000687066"
"Burundi","-2.8605658797649","-0.43918787668596","1.5685346310696","-4.2745881975","1.0108820458013","-2.7648804937773","1.7067138389192","-0.2777005171738","0.63715464555005","-1.32769460696","0.31822181783593","0.4115119597322","0.82408096596731","1.2635993343633","0.81060280131233","-5.9804956121318","-2.2061338298142","-1.7726464864145","-1.3771396218609","-1.4571930328866","-2.5084611684657","0.38116663976547"
"Bélgica","3.465452571304","0.75248290959371","1.2519846063501","0.61587978034487","3.1239289183956","1.7604555940757","1.8781831999731","2.9183383488137","-0.34345271809542","-2.8059207402516","1.928764195703","0.38003456979618","0.11640257847661","-0.013148386096447","1.1285957247117","1.4518933675876","0.75526891910285","1.2288662361692","1.3306522272452","1.689753688561","-5.7117298075238","6.4887704127266"
"Benin","2.6896473790018","2.20736492388","1.5489592476095","0.37202480236229","1.3165120375807","-1.4678138210442","0.81141015679833","2.9820533185393","1.8496250694942","-0.64843689101041","-0.83935582390524","-0.007428191688561","1.8000644925316","4.1276062345629","3.2905049991402","-1.1816848360067","0.33585224805772","2.6035565269206","3.6242625450376","3.8245068777059","0.95193786088524","4.2387089591678"
"Burkina Faso","-1.1068508280879","3.4203728146196","1.1931569551423","4.5071633107785","1.2508037241521","5.2934329734909","2.9866921336639","1.0013026274654","2.7310856339255","-0.012474271014014","5.3051445552425","3.5027065941213","3.273591495689","2.6572953305617","1.2639963853762","0.87778560482701","2.8934983269068","3.2032568361282","3.6935133275967","3.0644536044553","-0.69553398680941","4.1420956597543"
"Bangladesh","3.3059009346319","3.1004366918193","1.9216894198362","2.9261345429623","3.5057432399859","4.9309682028054","5.388330721006","5.9391815120127","5.0767302463891","4.124685812289","4.3734846638359","5.1745208767041","5.2049911186147","4.6787219182314","4.7477792265044","5.2910608076877","5.8032103970803","5.2664551128306","6.0802377688242","6.6876627268888","2.271101294057","5.716649087225"
"Bulgaria","5.105057144383","5.9111599059956","8.1952148307681","6.0740623588927","7.3174048138615","7.8655023126152","7.6168498513711","7.4414886031964","6.8771268799312","-2.7224155764344","2.2260786772168","2.7469107653367","1.3340660003802","0.015418846741326","1.524868110766","4.0594114079007","3.7517787845785","3.4991755485791","3.4391300631909","4.7700819526402","-3.3879876659232","8.5426099918782"
"Bahrein","2.4421574605879","-0.14972112001109","0.85337710018487","2.2082433637055","-0.10381597925232","-1.3364495952027","-1.1053530223242","1.055400515667","-0.43497049858165","-3.4684344610001","1.3948907318807","2.1154456987907","2.6389513943689","2.3475958827441","0.41389413903055","-0.98885529990906","-0.014526319313944","0.45023218838487","0.19145763348838","1.6987241435001","-3.5655986053501","3.5862590018989"
"Bahamas","2.6288792127887","1.1901062351232","1.3593448781022","-2.5740337961496","-0.46992270582264","1.9943966542443","1.103829252449","0.027364578941459","-3.704543642427","-5.545403080904","0.12006123940469","-0.63214851983763","1.8896393950685","-3.7672988412767","0.93617867579638","0.079627995373272","-1.782023887675","2.0152929495596","1.8929268334212","-2.0036559278532","-21.793466071455","14.997164429851"
"Bosnia y Herzegovina","4.7500520272898","2.0428636041308","4.9404385430638","4.2309183322262","7.3748754748663","5.1295162044493","6.3546308722616","7.1832867108152","7.1680927869293","-1.3625291674917","2.6299704897615","2.7921414149467","1.0343392850665","3.9572961290077","2.4707522798611","5.6983035145196","4.5276131121432","4.4733864067052","5.0458381459326","4.094115750327","-1.7787038867087","8.9482766160143"
"Belarús","6.299636368371","5.2638921870103","5.7160824361651","7.7949178650823","12.21261827378","10.149767237988","10.67558670818","9.0994600415947","10.58130502501","0.44670573513959","8.034088146582","5.6258812410737","1.8465202654741","1.0422433439175","1.6691051620507","-3.9573436434147","-2.6112993178812","2.6442470875855","3.3704343700901","1.6511181957528","-0.25138657609307","3.2908215058715"
"Belice","8.6582482335148","1.7375355874802","2.1517100058307","6.3374420828656","1.650275625373","-0.78750409991852","1.4875517164718","0.361898550414","-4.2759325265272","-3.144031600407","-1.2540677684483","-2.5467353026106","1.348535826207","2.1261192556083","1.7480101606644","1.0638648526027","-2.0368758138389","-3.7472613385835","-0.89454369701937","2.3532072734479","-15.004348570966","16.356871750373"
